Ensembl,HGNC,Entrez,TNBC1,TNBC2,TNBC3,TNBC4,TNBC5,TNBC6,TNBC7,TNBC8,TNBC9,TNBC10,Normal1,Normal2,Normal3,Normal4,Normal5,Normal6,Normal7,Normal8,Normal9,Normal10
ENSG00000026508,CD44,960.00,9325.00,11195.00,2956.00,19974.00,8371.00,13101.00,9199.00,2839.00,6908.00,3223.00,8703.00,12703.00,10849.00,3881.00,7870.00,9508.00,14522.00,9966.00,7486.00,6796.00
ENSG00000100600,LGMN,5641.00,3265.00,3954.00,1126.00,929.00,4782.00,13029.00,1789.00,1451.00,1582.00,1387.00,4325.00,17857.00,1853.00,4683.00,6483.00,2601.00,4408.00,2657.00,2080.00,6228.00
ENSG00000166743,ACSM1,116285.00,0.00,2.00,6.00,22.00,18261.00,1.00,3.00,6.00,1.00,1.00,34.00,1.00,20.00,0.00,5884.00,16.00,13.00,30.00,148.00,0.00
ENSG00000121270,ABCC11,85320.00,60.00,2.00,20.00,0.00,18883.00,105.00,1.00,2.00,1.00,9.00,439.00,0.00,273.00,8.00,2872.00,274.00,32.00,26.00,1726.00,3.00
ENSG00000163463,KRTCAP2,200185.00,3155.00,5496.00,17566.00,5486.00,1642.00,1383.00,10858.00,2389.00,1538.00,8062.00,1904.00,1352.00,937.00,1443.00,2149.00,1141.00,1105.00,1399.00,1704.00,1362.00
ENSG00000103257,SLC7A5,8140.00,5398.00,12751.00,3804.00,5010.00,6133.00,8003.00,9398.00,8714.00,5313.00,11715.00,651.00,96.00,869.00,110.00,633.00,310.00,952.00,524.00,667.00,99.00
ENSG00000151468,CCDC3,83643.00,193.00,158.00,368.00,2669.00,509.00,573.00,1272.00,94.00,630.00,230.00,1165.00,2043.00,1705.00,18678.00,5866.00,1085.00,4880.00,4682.00,460.00,3339.00
ENSG00000067560,RHOA,387.00,10841.00,15407.00,7450.00,5417.00,13535.00,12004.00,10994.00,8580.00,11035.00,7453.00,11038.00,21036.00,8901.00,19309.00,16167.00,9733.00,14139.00,12243.00,12468.00,18771.00
ENSG00000140391,TSPAN3,10099.00,920.00,1795.00,2826.00,2742.00,863.00,3133.00,5349.00,2960.00,2687.00,1950.00,3922.00,8484.00,3228.00,16087.00,6870.00,4085.00,8130.00,5347.00,2679.00,14720.00
ENSG00000253729,PRKDC,5591.00,7936.00,10908.00,6041.00,4800.00,16528.00,16353.00,9975.00,6433.00,12112.00,6613.00,3461.00,4122.00,4869.00,4129.00,2735.00,3967.00,6412.00,3638.00,3637.00,3949.00
ENSG00000074181,NOTCH3,4854.00,2421.00,4696.00,4048.00,4622.00,1990.00,1648.00,5693.00,21235.00,2428.00,4678.00,3557.00,3598.00,6123.00,5081.00,9140.00,2881.00,5051.00,4176.00,4687.00,4008.00
ENSG00000117115,PADI2,11240.00,10523.00,1340.00,2459.00,5610.00,2749.00,16550.00,3018.00,4744.00,7394.00,1688.00,2233.00,31.00,6627.00,110.00,965.00,2089.00,990.00,1401.00,7337.00,156.00
ENSG00000110092,CCND1,595.00,5759.00,4465.00,1017.00,236.00,1851.00,5580.00,1598.00,3472.00,11269.00,983.00,5765.00,2282.00,9647.00,6455.00,8781.00,2621.00,16713.00,5771.00,5780.00,9720.00
